epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,10668.6,0.82594,0.6621,1.01767,0.69464,0.4011,0.3141,0.15297,1.99254,2.45515,2.19646,0.0001882,0.0001882,0.0001882
84,10793.7,0.8767,0.71061,1.05283,0.69124,0.41332,0.30592,0.15067,1.96653,2.41867,2.1674,0.0001783,0.0001783,0.0001783
85,10918.4,0.8644,0.70115,1.05086,0.66261,0.38328,0.28897,0.14508,1.98136,2.43457,2.18516,0.0001684,0.0001684,0.0001684
86,11043.3,0.87766,0.72693,1.05888,0.65504,0.38603,0.28201,0.14445,1.97618,2.44795,2.16748,0.0001585,0.0001585,0.0001585
87,11168.8,0.87437,0.73001,1.04887,0.67782,0.34406,0.27977,0.1431,1.97862,2.49544,2.16621,0.0001486,0.0001486,0.0001486
88,11293.1,0.87833,0.7277,1.06057,0.68503,0.3382,0.28949,0.14371,1.98381,2.5149,2.17185,0.0001387,0.0001387,0.0001387
89,11417.8,0.85985,0.66662,1.03465,0.74036,0.30812,0.30171,0.14395,1.99919,2.50057,2.19582,0.0001288,0.0001288,0.0001288
90,11543.3,0.82535,0.68023,1.03398,0.64846,0.37545,0.28243,0.13767,2.02328,2.51262,2.19759,0.0001189,0.0001189,0.0001189
91,11666.5,0.88074,0.75206,1.05903,0.32339,0.34444,0.25955,0.12573,2.03539,2.57439,2.22548,0.000109,0.000109,0.000109
92,11789.4,0.85646,0.71445,1.06069,0.33091,0.3504,0.27159,0.12796,2.05874,2.59969,2.25988,9.91e-05,9.91e-05,9.91e-05
93,11912.6,0.83571,0.66876,1.04655,0.67294,0.36772,0.29322,0.13901,2.07355,2.58073,2.26544,8.92e-05,8.92e-05,8.92e-05
94,12035.6,0.82977,0.64956,1.0262,0.67598,0.37524,0.28863,0.13628,2.06348,2.59295,2.24599,7.93e-05,7.93e-05,7.93e-05
95,12158.3,0.84516,0.69523,1.03333,0.69696,0.35492,0.295,0.14207,2.03811,2.61181,2.22625,6.94e-05,6.94e-05,6.94e-05
96,12281.4,0.84675,0.6727,1.05175,0.35833,0.35937,0.28943,0.13696,2.02817,2.63884,2.22283,5.95e-05,5.95e-05,5.95e-05
97,12404.2,0.85694,0.74584,1.06884,0.34428,0.37799,0.29165,0.14204,2.021,2.59262,2.22913,4.96e-05,4.96e-05,4.96e-05
98,12527.7,0.8167,0.65401,1.02383,0.34327,0.38313,0.28461,0.13827,2.02383,2.59345,2.24361,3.97e-05,3.97e-05,3.97e-05
99,12650.9,0.81076,0.63213,1.0158,0.35598,0.36825,0.28354,0.13764,2.03703,2.60296,2.26418,2.98e-05,2.98e-05,2.98e-05
100,12773.9,0.81428,0.65447,1.04174,0.34799,0.36825,0.28142,0.13812,2.05575,2.61779,2.28661,1.99e-05,1.99e-05,1.99e-05
